config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc,best_T,best_rho,n_test_composition,n_test_adhd_composition,n_test_control_composition,class_balance_adhd,duration_mean,duration_std,duration_min,duration_max,duration_range,duration_mean_adhd,duration_mean_ctrl,duration_gap_adhd_minus_ctrl
N3G3,RKHS-KNN,r4f5,3,4,3,0.01,5.0,,,0.7426470588235294,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7430555555555556,0.1690308509457033,,,24,12,12,0.5,134.32941666666667,37.0254124104873,77.297,228.258,150.961,145.54874999999998,123.11008333333332,22.438666666666663
N3G3,RKHS-KNN,r5f1,4,0,4,0.1,1.0,,,0.65625,25,12,13,96,48,48,10,8,4,3,0.72,0.717948717948718,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.717948717948718,0.4387188079786328,,,25,13,12,0.52,145.00536,46.08891100170771,62.367,262.266,199.89900000000003,159.34561538461537,129.47008333333335,29.875532051282022
N3G3,RKHS-KNN,r5f2,4,1,4,0.001,1.0,,,0.7199754901960785,24,12,12,97,48,49,6,7,5,6,0.5416666666666666,0.5416666666666667,0.5,0.5833333333333334,0.5454545454545454,0.5,0.5217391304347826,0.5416666666666666,0.083624201000709,,,24,12,12,0.5,138.82679166666665,51.680408990994344,81.852,337.906,256.054,149.49091666666666,128.16266666666667,21.328249999999997
N3G3,RKHS-KNN,r5f3,4,2,4,0.1,1.0,,,0.6482843137254902,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,,,24,12,12,0.5,135.7305,51.740023658420505,77.297,276.0,198.703,151.63016666666667,119.83083333333333,31.799333333333337
N3G3,RKHS-KNN,r5f4,4,3,4,0.1,1.0,,,0.7935049019607843,24,12,12,97,48,49,5,8,4,7,0.5416666666666666,0.5416666666666666,0.4166666666666667,0.6666666666666666,0.5555555555555556,0.4166666666666667,0.4761904761904761,0.5416666666666667,0.086066296582387,,,24,12,12,0.5,138.10058333333333,43.55544643616482,76.742,267.117,190.375,161.35799999999998,114.84316666666668,46.5148333333333
N3G3,RKHS-KNN,r5f5,4,4,4,0.001,3.0,,,0.7328431372549019,24,12,12,97,48,49,12,4,8,0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6,1.0,0.75,0.8263888888888888,0.4472135954999579,,,24,12,12,0.5,141.49783333333332,52.48833613427776,72.547,304.922,232.37500000000003,150.74875,132.24691666666666,18.501833333333337
N4G4,RKHS-KNN,r1f1,0,0,0,0.1,3.0,,,0.6979166666666666,25,12,13,96,48,48,12,8,4,1,0.8,0.7948717948717949,0.9230769230769232,0.6666666666666666,0.75,0.9230769230769232,0.8275862068965517,0.8397435897435899,0.6138245895861674,,,25,13,12,0.52,139.05904,55.1402558704316,81.656,337.906,256.25,153.25053846153847,123.68491666666667,29.565621794871802
N4G4,RKHS-KNN,r1f2,0,1,0,0.001,3.0,,,0.7634803921568628,24,12,12,97,48,49,9,5,7,3,0.5833333333333334,0.5833333333333334,0.75,0.4166666666666667,0.5625,0.75,0.6428571428571429,0.7430555555555556,0.1767766952966369,,,24,12,12,0.5,143.67525,56.15350360763827,62.367,276.0,213.633,156.019,131.3315,24.6875
N4G4,RKHS-KNN,r1f3,0,2,0,0.01,9.0,,,0.6587009803921569,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.875,0.50709255283711,,,24,12,12,0.5,135.37212499999998,33.2956763250158,84.875,212.164,127.28899999999999,139.278,131.46625,7.811749999999989
N4G4,RKHS-KNN,r1f4,0,3,0,0.0316227766016837,5.0,,,0.8026960784313726,24,12,12,97,48,49,8,3,9,4,0.4583333333333333,0.4583333333333333,0.6666666666666666,0.25,0.4705882352941176,0.6666666666666666,0.5517241379310345,0.5243055555555556,-0.0916698497028211,,,24,12,12,0.5,139.97783333333334,42.722653941405625,76.742,262.266,185.524,158.27666666666667,121.67900000000002,36.597666666666655
N4G4,RKHS-KNN,r1f5,0,4,0,0.001,5.0,,,0.7089460784313726,24,12,12,97,48,49,11,7,5,1,0.75,0.75,0.9166666666666666,0.5833333333333334,0.6875,0.9166666666666666,0.7857142857142857,0.8402777777777777,0.5303300858899107,,,24,12,12,0.5,141.32458333333332,54.51068565680827,81.852,304.922,223.07000000000002,166.25716666666668,116.392,49.86516666666668
